Ben Carson,61.841811
Ben Carson,-11.88825081
Ben Carson,-39.71195743
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,-108.012116
Ben Carson,86.06295507
Ben Carson,16.1516715
Ben Carson,37.58144882
Ben Carson,7.260511328
Ben Carson,61.841811
Ben Carson,37.25170701
Ben Carson,-11.53606178
Ben Carson,65.00523384
Ben Carson,-47.09648823
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,86.06295507
Ben Carson,65.00523384
Ben Carson,54.5017446
Ben Carson,-3.825143355
Ben Carson,65.00523384
Ben Carson,-20.74088089
Ben Carson,65.00523384
Ben Carson,-17.89816937
Ben Carson,-57.67385547
Ben Carson,-48.19511157
Ben Carson,46.4228983
Ben Carson,-18.25302454
Ben Carson,65.00523384
Ben Carson,-90.78469763
Ben Carson,65.00523384
Ben Carson,-153.3351017
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,8.635209569
Ben Carson,-8.285258225
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,86.06295507
Ben Carson,1.390608323
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,7.604443902
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,-50.76329626
Ben Carson,65.00523384
Ben Carson,-14.35787418
Ben Carson,-42.34937586
Ben Carson,19.20475038
Ben Carson,86.13889717
Ben Carson,-24.66458479
Ben Carson,95.09877505
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,95.09877505
Ben Carson,95.09877505
Ben Carson,-40.89340323
Ben Carson,19.20475038
Ben Carson,86.06295507
Ben Carson,-50.39605643
Ben Carson,-27.88769486
Ben Carson,-49.57015382
Ben Carson,-30.76240011
Ben Carson,-70.03857123
Ben Carson,49.01946453
Ben Carson,65.00523384
Ben Carson,-90.40438509
Ben Carson,79.02958123
Ben Carson,61.841811
Ben Carson,95.09877505
Ben Carson,8.635209569
Ben Carson,95.09877505
Ben Carson,19.20475038
Ben Carson,71.90487046
Ben Carson,-11.88825081
Ben Carson,61.841811
Ben Carson,-82.72726648
Ben Carson,61.841811
Ben Carson,-18.25302454
Ben Carson,61.841811
Ben Carson,95.09877505
Ben Carson,69.09226057
Ben Carson,30.95539298
Ben Carson,-16.39171202
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,-15.06474635
Ben Carson,95.09877505
Ben Carson,-102.1496954
Ben Carson,8.635209569
Ben Carson,-10.12876778
Ben Carson,-115.3496023
Ben Carson,-5.22177278
Ben Carson,30.95539298
Ben Carson,13.51244697
Ben Carson,86.06295507
Ben Carson,65.00523384
Ben Carson,-132.8678023
Ben Carson,-12.94576392
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,77.17970733
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,6.916492749
Ben Carson,65.00523384
Ben Carson,8.635209569
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,-84.33460729
Ben Carson,-50.39605643
Ben Carson,-6.970935244
Ben Carson,-148.1973562
Ben Carson,-2.779240871
Ben Carson,6.916492749
Ben Carson,-44.17258833
Ben Carson,8.635209569
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,0.697152872
Ben Carson,65.00523384
Ben Carson,65.95094092
Ben Carson,8.635209569
Ben Carson,-11.88825081
Ben Carson,-59.98746641
Ben Carson,61.841811
Ben Carson,8.635209569
Ben Carson,-48.19511157
Ben Carson,-48.10351662
Ben Carson,-53.7062892
Ben Carson,65.00523384
Ben Carson,-19.31836407
Ben Carson,86.06295507
Ben Carson,8.635209569
Ben Carson,61.841811
Ben Carson,13.08586393
Ben Carson,-27.88778086
Ben Carson,42.83530055
Ben Carson,65.00523384
Ben Carson,-18.25302454
Ben Carson,-53.89042514
Ben Carson,52.250143
Ben Carson,-27.70837517
Ben Carson,65.00523384
Ben Carson,19.20475038
Ben Carson,63.42558654
Ben Carson,65.00523384
Ben Carson,46.4228983
Ben Carson,96.29174548
Ben Carson,95.09877505
Ben Carson,33.94517244
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,-79.80164648
Ben Carson,25.27237806
Ben Carson,88.48785603
Ben Carson,95.09877505
Ben Carson,-14.35787418
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,-14.35787418
Ben Carson,-28.96464502
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,39.88516923
Ben Carson,79.02958123
Ben Carson,8.635209569
Ben Carson,96.96146365
Ben Carson,65.00523384
Ben Carson,8.635209569
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,8.635209569
Ben Carson,65.00523384
Ben Carson,-58.50620842
Ben Carson,95.09877505
Ben Carson,13.08594993
Ben Carson,61.841811
Ben Carson,95.09877505
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,95.09877505
Ben Carson,-30.76240011
Ben Carson,16.1516715
Ben Carson,-90.78469763
Ben Carson,16.1516715
Ben Carson,-18.25302454
Ben Carson,95.09877505
Ben Carson,61.841811
Ben Carson,-48.19511157
Ben Carson,86.13889717
Ben Carson,85.75901466
Ben Carson,-34.36814484
Ben Carson,65.00523384
Ben Carson,-19.67373526
Ben Carson,61.841811
Ben Carson,-19.67373526
Ben Carson,-19.67373526
Ben Carson,-11.88825081
Ben Carson,65.00523384
Ben Carson,-19.67373526
Ben Carson,-19.67373526
Ben Carson,-19.67373526
Ben Carson,-19.67373526
Ben Carson,-19.67373526
Ben Carson,-114.9624954
Ben Carson,65.00523384
Ben Carson,-46.73053847
Ben Carson,-47.46261001
Ben Carson,43.16229021
Ben Carson,95.09877505
Ben Carson,-57.02701453
Ben Carson,-20.74088089
Ben Carson,61.841811
Ben Carson,-50.39605643
Ben Carson,65.00523384
Ben Carson,14.79064799
Ben Carson,13.08586393
Ben Carson,-46.73053847
Ben Carson,65.00523384
Ben Carson,-11.88833681
Ben Carson,27.95254081
Ben Carson,-114.9624954
Ben Carson,-66.67811174
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,39.88516923
Ben Carson,61.841811
Ben Carson,27.95254081
Ben Carson,-114.9624954
Ben Carson,-11.53606178
Ben Carson,-31.75248558
Ben Carson,65.00523384
Ben Carson,-47.46261001
Ben Carson,-18.25293853
Ben Carson,-21.45299935
Ben Carson,8.978540111
Ben Carson,-26.09570208
Ben Carson,108.6477748
Ben Carson,-117.6742218
Ben Carson,5.883404957
Ben Carson,95.09877505
Ben Carson,65.00523384
Ben Carson,-31.48243099
Ben Carson,65.00523384
Ben Carson,61.841811
Ben Carson,-30.7623141
Ben Carson,36.01367015
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,38.89886796
Ben Carson,-115.3496023
Ben Carson,61.841811
Ben Carson,39.88516923
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,61.841811
Ben Carson,-55.36531879
Ben Carson,61.841811
Ben Carson,65.00523384
Ben Carson,95.09877505
Ben Carson,-2.431008065
Ben Carson,-2.431008065
Ben Carson,-11.88825081
Ben Carson,51.04065968
Ben Carson,61.841811
Ben Carson,16.1516715
Ben Carson,-55.91893069
Ben Carson,61.841811
Ben Carson,-115.3496023
Ben Carson,-47.09648823
Ben Carson,61.841811
Ben Carson,-15.06474635
Ben Carson,65.00523384
Ben Carson,-83.95627285
Ben Carson,-18.25302454
Ben Carson,17.84940318
Ben Carson,-11.53614779
Ben Carson,-78.67102942
Ben Carson,95.09877505
Ben Carson,61.841811
Ben Carson,-12.24061183
Ben Carson,61.841811
Ben Carson,-40.52968959
Ben Carson,95.09877505
Ben Carson,61.841811
